text,sentiment
"it seems easy to put in, It is uncomfortable and it sharp when attempting to try",Negative
"DO. NOT. BUY. You've been warned!<br /><br />I am not sure where all the great reviews come from, but pictures speak a thousand words, so please see my photos. The end result looked nothing like what was advertised. As a bride-to-be, my dear friend and bridesmaid wanted to buy me this customized robe as a gift. However, it arrived with several holes across the customized portion, and these were not present on the outer organza bag that held it or the shipping, so it must have happened during production. The paintwork was also of TERRIBLE QUALITY---faded, jagged leaf edges (not in an artistic, watercolor way but clearly a bad job). If you look at my pictures, note the broken green leaves next to the pink blur that was supposed to be a pink rose and the random green dot under the rose like it came off and got stuck there. The flowers were nearly nonexistent like someone forgot to apply white ink to the fabric to give the flowers contrast. That made the lettering look weird and pretty much destroyed an otherwise gorgeous robe and color (dusty rose, by the way). The customization is supposed to enhance the robe, not destroy it.<br /><br />This was supposed to be a sweet gift from a sweet friend, but instead, I am telling her to send it back pronto so she can get her hard-earned cash back. There are many choices on Amazon---DON'T PICK THIS ONE!",Negative
Beautiful and well made.,Negative
Not what I expected at all,Negative
 ,Negative
Do not waste your hard earned money it's as thick as a quarter at the base and light as a feather.,Negative
Product is NOT as described...  Save your money on this one!!  Map is severely cropped...,Negative
It’s a cute necklace but it breaks very easily. Honestly not worth the price.,Negative
"Soft, true to size",Negative
"The picture shows the color of the earrings are blue, however, they are brown. So make sure you will be ok with the color they send instead of the color in the picture. I needed the blue. The color I actually received looks horrible on me.",Negative
I received it and it was already flimsy. Snapped immediately.,Negative
"It’s a beautiful piece, but does not rattle. There’s no sound at all when I shake it. Really more for looks or display than actually getting to play with it with my baby. I’m disappointed but, it’s still beautiful to look at.",Negative
"I am disappointed that after 3 weeks my mat is significantly dying. It was a little brown when it arrived and we have been misting it every day with water in addition to the water it received from daily use and has continued to die, get brown and shed all over our bathroom floor. You can see where the moss is hotglued into the mat so I don't know if that process kills it. But for the very expensive price, it should live for several years. Moss is supposed to be a very hardy plant.",Negative
"The items received were fit for a baby,which was misleading I ordered for grandson and granddaughter..I will never order again from that seller absolutely not..",Negative
"It is a little big for your pocket. I have a ford focus key that is broken, this case holds it but moves around a little too much. It is a little large for men’s pockets.",Negative
"I ordered 2 for my daughter for Easter. One arrived broken, one of the tint silver balls was not glued in place. The earring itself is extremely thin n feels like it would break very easily. And the ends to put into your piercing hole, is so rough and it will definitely hurt to put in, I'm sure.<br />This is cheaply made but yet not a cheap price. Definitely will never buy from this seller again",Negative
Have allergy. There is too much bronzer. And smell disgusting (,Negative
It’s pretty but it’s small,Negative
